pickup_date,pickup_month,hour,hvfhs_license_num,company,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,cbd_congestion_fees,shared_requests,shared_matches
2025-02-01,2025-02,0,HV0003,Uber,24020,125161.29,25785799,572785.31,18317.26,458586.24,1201.25,24308.0,13506.0,1744,1178
2025-02-01,2025-02,1,HV0003,Uber,18123,91303.72,18246891,417563.49,12454.5,324442.59,471.25,19181.5,10927.5,1468,1003
2025-02-01,2025-02,2,HV0003,Uber,13717,70930.06,13615580,317335.13,8551.35,242426.26,376.25,14674.5,8505.0,1151,782
2025-02-01,2025-02,3,HV0003,Uber,10783,63317.55,11141108,271820.21,7153.69,207556.32,1450.0,10921.0,6394.5,923,607
2025-02-01,2025-02,4,HV0003,Uber,9117,60897.58,9774669,259518.59,8400.720000000001,195497.94,2932.5,7392.75,4327.5,832,487
2025-02-01,2025-02,5,HV0003,Uber,7802,55722.78,8493383,219531.79,7841.03,167361.41,3773.75,6233.0,3435.0,651,356
2025-02-01,2025-02,6,HV0003,Uber,9925,64857.86,10331605,250296.43,8362.45,197143.29,3077.5,8102.5,4152.0,851,488
2025-02-01,2025-02,7,HV0003,Uber,13187,81743.47,13450823,313879.92,10879.12,251199.33,3390.0,10221.25,5121.0,1001,558
2025-02-01,2025-02,8,HV0003,Uber,17316,92881.16,17042322,379258.7,14811.33,304797.53,2828.75,14376.0,7051.5,1059,542
2025-02-01,2025-02,9,HV0003,Uber,21454,104689.95,20610495,457162.85,18522.370000000003,360645.48,3157.5,18855.0,9237.0,1004,474
2025-02-01,2025-02,10,HV0003,Uber,23851,113443.33,23624778,515191.96,22823.13,405354.34,3613.75,23287.75,11592.0,895,438
2025-02-01,2025-02,11,HV0003,Uber,25406,116084.25,26444412,550679.95,23682.39,439595.4,2983.75,26134.0,13258.5,936,440
2025-02-01,2025-02,12,HV0003,Uber,26409,119648.49,28697443,584295.92,24569.09,472035.98,3235.0,27309.75,13765.5,980,464
2025-02-01,2025-02,13,HV0003,Uber,26909,122070.02,30028574,610477.16,24618.92,487911.36,3553.75,28149.25,14154.0,1070,524
2025-02-01,2025-02,14,HV0003,Uber,27637,129370.26,31780672,643067.46,25950.21,515535.82,4165.0,26952.25,13773.0,1139,540
2025-02-01,2025-02,15,HV0003,Uber,29473,138662.55,34888733,681189.26,26028.39,557032.6799999999,4042.5,29153.0,14847.0,1266,689
2025-02-01,2025-02,16,HV0003,Uber,30951,141598.05,37305347,716085.39,28551.44,586791.34,3530.0,32461.75,16822.5,1260,664
2025-02-01,2025-02,17,HV0003,Uber,34334,151090.63,40940523,784209.23,31789.210000000003,641217.73,3615.0,37185.0,19158.0,1418,781
2025-02-01,2025-02,18,HV0003,Uber,38094,164897.13,44701256,871615.77,34359.55,706462.21,3076.25,41547.0,21441.0,1660,1028
2025-02-01,2025-02,19,HV0003,Uber,39815,171123.99,45521435,917670.1900000001,34079.43,735701.4199999999,2976.25,44370.25,23302.5,1812,1112
2025-02-01,2025-02,20,HV0003,Uber,37360,161755.7,40781977,802064.44,28046.7,653853.45,2628.75,40658.5,21570.0,1704,1093
2025-02-01,2025-02,21,HV0003,Uber,35354,159257.08000000002,38009526,753174.49,26912.13,615231.99,2211.25,39735.0,21198.0,1711,1168
2025-02-01,2025-02,22,HV0003,Uber,36689,174877.55,40148944,830636.11,29493.97,670684.6,1651.25,40791.75,22147.5,2092,1532
2025-02-01,2025-02,23,HV0003,Uber,36008,183720.21,39888006,1017797.55,33282.59,766956.7,1685.0,37646.75,21063.0,2307,1708
2025-02-02,2025-02,0,HV0003,Uber,30912,152452.96000000002,32322827,823129.3099999999,23037.649999999998,615576.86,496.25,31441.5,17701.5,2193,1600
2025-02-02,2025-02,1,HV0003,Uber,23381,117983.07,23662319,580437.79,15622.64,439546.73,286.25,24653.0,14103.0,1746,1212
2025-02-02,2025-02,2,HV0003,Uber,17345,91299.54,17395944,432416.53,10885.22,322086.94,356.25,18107.0,10669.5,1390,943
2025-02-02,2025-02,3,HV0003,Uber,13212,77500.2,13710599,348120.52,8303.9,258853.6,1406.25,12517.25,7573.5,1149,775
2025-02-02,2025-02,4,HV0003,Uber,10222,68381.32,11096814,307366.36,7859.94,225321.74,2801.25,8005.0,4888.5,896,560
2025-02-02,2025-02,5,HV0003,Uber,7899,55256.37,8502158,221388.67,7069.95,167880.17,3505.0,6267.25,3537.0,626,344
2025-02-02,2025-02,6,HV0003,Uber,9740,66787.63,10220398,266701.36,8752.89,203914.65,3730.0,8584.0,4435.5,855,523
2025-02-02,2025-02,7,HV0003,Uber,12729,80228.45,12594963,308048.23,11112.15,243493.37,3990.0,10669.5,5239.5,1086,634
2025-02-02,2025-02,8,HV0003,Uber,15031,85489.91,14174694,340794.19,13648.83,266813.45,4317.5,13482.0,6820.5,948,486
2025-02-02,2025-02,9,HV0003,Uber,19548,103264.72,18378609,439075.21,18999.32,337649.76,4883.75,18511.75,9211.5,882,465
2025-02-02,2025-02,10,HV0003,Uber,23723,116398.81,22286409,517814.13,21901.83,398075.94,5421.25,23458.75,11977.5,934,448
2025-02-02,2025-02,11,HV0003,Uber,25281,120715.71,24579155,555535.77,23444.93,429572.82,4862.5,27006.5,13704.0,948,431
2025-02-02,2025-02,12,HV0003,Uber,25700,125812.14,26586985,590684.52,24872.26,458863.49,5853.75,27909.25,14194.5,883,390
2025-02-02,2025-02,13,HV0003,Uber,26819,130581.78,28613035,620689.14,26600.6,484334.94,6343.75,28482.75,14404.5,1009,478
2025-02-02,2025-02,14,HV0003,Uber,27715,143761.46,31617288,673561.03,26571.61,533440.08,7593.75,27403.25,14196.0,1240,669
2025-02-02,2025-02,15,HV0003,Uber,28237,152760.26,33837045,705014.11,26502.07,569063.11,8095.0,26966.5,14001.0,1338,796
2025-02-02,2025-02,16,HV0003,Uber,28105,149471.76,34575472,699823.99,28291.0,570974.3,7591.25,27033.75,14208.0,1367,784
2025-02-02,2025-02,17,HV0003,Uber,28066,141174.94999999998,32905280,676557.1499999999,26271.51,543060.8099999999,6583.75,28293.5,14470.5,1390,817
2025-02-02,2025-02,18,HV0003,Uber,28531,138425.59,31894245,647219.99,24103.03,527395.15,5812.5,29023.0,14890.5,1440,812
2025-02-02,2025-02,19,HV0003,Uber,26978,132330.5,29440676,599213.94,21454.11,492300.05,5266.25,26307.0,13548.0,1544,902
2025-02-02,2025-02,20,HV0003,Uber,24102,119793.67,26056494,525988.27,18387.57,438370.94999999995,3637.5,23603.75,12337.5,1513,920
2025-02-02,2025-02,21,HV0003,Uber,22091,114501.8,23715834,496899.84,18470.14,411194.89,3422.5,21397.75,11628.0,1472,921
2025-02-02,2025-02,22,HV0003,Uber,19546,104831.29,20581712,456221.52,14652.05,362429.16,3551.25,17888.75,9588.0,1673,1082
2025-02-02,2025-02,23,HV0003,Uber,16094,87526.72,16448728,373243.65,10667.73,299232.52,3340.0,13124.0,6988.5,1545,992
2025-02-03,2025-02,0,HV0003,Uber,11548,65152.67,11501495,266868.33,7798.26,213733.8,2657.5,8602.0,4645.5,1174,735
2025-02-03,2025-02,1,HV0003,Uber,5630,30014.65,5253839,117696.52,2888.7,95121.65,801.25,3868.75,2193.0,540,255
2025-02-03,2025-02,2,HV0003,Uber,3761,19588.87,3444895,77568.92,1611.02,61956.35,416.25,2576.75,1492.5,399,152
2025-02-03,2025-02,3,HV0003,Uber,3454,22915.51,3487809,88152.74,2282.08,67891.74,1558.75,2525.25,1473.0,257,87
2025-02-03,2025-02,4,HV0003,Uber,5196,39889.82,5625978,160492.7,6874.98,117599.35,3938.75,3706.75,2158.5,379,159
2025-02-03,2025-02,5,HV0003,Uber,8572,63305.17,9848601,265253.92,11137.65,196489.92,5426.25,6949.25,3609.0,569,290
2025-02-03,2025-02,6,HV0003,Uber,16101,97201.01,19220169,449753.94,16556.72,365184.98,4942.5,14102.25,7116.0,1070,648
2025-02-03,2025-02,7,HV0003,Uber,25533,123464.78,31557800,708770.01,22767.440000000002,557144.9,4566.25,20058.5,9850.5,1195,691
2025-02-03,2025-02,8,HV0003,Uber,31594,138894.33,38282305,818118.1,29214.92,631025.38,4868.75,26703.5,13255.5,1433,760
2025-02-03,2025-02,9,HV0003,Uber,25949,117975.81,30006156,625948.71,25151.91,484774.53,5277.5,25016.25,12655.5,990,420
2025-02-03,2025-02,10,HV0003,Uber,20734,105105.6,24223852,530265.4299999999,22465.28,402667.15,5497.5,20106.0,10002.0,675,228
2025-02-03,2025-02,11,HV0003,Uber,19031,96090.58,21633204,488079.27,21500.77,363896.71,4938.75,19232.5,9544.5,567,174
2025-02-03,2025-02,12,HV0003,Uber,18582,94296.76,20739640,464192.54,20222.63,352563.91,4798.75,18365.0,9129.0,568,185
2025-02-03,2025-02,13,HV0003,Uber,19984,103013.97,22891031,511164.82,22315.1,388660.7,5781.25,19534.25,9940.5,653,209
2025-02-03,2025-02,14,HV0003,Uber,22085,110014.54,26893376,563531.64,23387.949999999997,437176.04000000004,5837.5,19799.5,10017.0,858,327
2025-02-03,2025-02,15,HV0003,Uber,22493,112813.7,29442105,606219.22,24918.07,469806.86,6576.25,20570.25,10498.5,895,353
2025-02-03,2025-02,16,HV0003,Uber,22999,112444.07,29893688,612328.75,25128.69,474218.17,6113.75,21425.25,10980.0,940,370
2025-02-03,2025-02,17,HV0003,Uber,25792,114068.88,30957045,644926.26,26648.52,488926.48,4973.75,26069.75,13228.5,1174,476
2025-02-03,2025-02,18,HV0003,Uber,25965,115123.89,28070280,612703.1,25803.35,461653.53,4436.25,28433.25,14437.5,1264,566
2025-02-03,2025-02,19,HV0003,Uber,22927,110551.14,23273804,547710.16,23172.55,405413.93,3741.25,25076.0,13233.0,1083,468
2025-02-03,2025-02,20,HV0003,Uber,21185,115963.24,22059985,553297.77,24718.76,403656.23,3791.25,24921.5,13702.5,983,475
2025-02-03,2025-02,21,HV0003,Uber,19882,112018.57,20910542,521958.89,23418.82,383507.87,3527.5,24952.0,13641.0,995,547
2025-02-03,2025-02,22,HV0003,Uber,18836,105666.06,19603469,453409.85,18617.25,356005.62,3013.75,21455.0,12006.0,1147,745
2025-02-03,2025-02,23,HV0003,Uber,15067,84720.41,15225286,335553.1,12273.76,275935.08,3051.25,15488.25,8284.5,1099,659
2025-02-04,2025-02,0,HV0003,Uber,10034,55662.5,9787526,215749.14,7645.5,179095.81,1846.25,9717.5,5407.5,803,410
2025-02-04,2025-02,1,HV0003,Uber,5299,27286.64,4800733,106559.27,3411.4900000000002,88324.06,406.25,5126.5,2893.5,422,141
2025-02-04,2025-02,2,HV0003,Uber,3581,18726.84,3281197,72334.93,2175.1,60461.64,413.75,3251.0,1833.0,268,75
2025-02-04,2025-02,3,HV0003,Uber,3174,19577.55,3037602,71735.96,2391.52,59686.06,1267.5,2442.75,1399.5,227,63
2025-02-04,2025-02,4,HV0003,Uber,4737,34665.4,4956475,130681.78,5605.71,102126.4,3302.5,3654.25,2109.0,311,118
2025-02-04,2025-02,5,HV0003,Uber,8508,57832.4,9245374,229706.46000000002,10289.14,177943.79,4708.75,7562.25,4000.5,539,283
2025-02-04,2025-02,6,HV0003,Uber,15811,87525.06,18649492,392626.45,15175.74,338675.41,4002.5,14134.75,7333.5,939,545
2025-02-04,2025-02,7,HV0003,Uber,26023,118825.98,32695346,658440.91,24669.17,536192.0,3975.0,21743.0,10813.5,1038,572
2025-02-04,2025-02,8,HV0003,Uber,31614,132898.75,39346929,788286.45,30202.53,620028.59,4192.5,29199.25,14796.0,1163,562
2025-02-04,2025-02,9,HV0003,Uber,27175,120177.86,32076298,631241.95,26389.79,507645.7,4272.5,26914.5,13594.5,1045,468
2025-02-04,2025-02,10,HV0003,Uber,21580,103198.16,25565927,537844.38,23817.9,414258.66,4742.5,22420.75,11125.5,683,228
2025-02-04,2025-02,11,HV0003,Uber,19385,92937.96,22637678,496941.62,21827.19,370938.6,3715.0,20480.0,10218.0,590,178
2025-02-04,2025-02,12,HV0003,Uber,19188,92218.87999999999,21965180,485157.46,21663.18,362537.25,4063.75,20073.0,9988.5,525,136
2025-02-04,2025-02,13,HV0003,Uber,20771,100935.28,24208688,529652.18,23654.16,398953.25,4621.25,21126.5,10723.5,669,195
2025-02-04,2025-02,14,HV0003,Uber,23696,111401.57,29320581,609397.97,26372.72,465334.14,5331.25,22254.5,11415.0,890,367
2025-02-04,2025-02,15,HV0003,Uber,25201,116874.61,32952469,670082.29,28151.800000000003,511583.99,6051.25,24202.75,12379.5,1003,436
2025-02-04,2025-02,16,HV0003,Uber,25635,112362.42,32471886,653474.01,27281.82,499528.64,5011.25,25330.0,12970.5,1009,430
2025-02-04,2025-02,17,HV0003,Uber,29961,123690.19,36084877,739856.49,30725.87,555674.24,4576.25,32072.5,16281.0,1310,619
2025-02-04,2025-02,18,HV0003,Uber,30620,127530.7,33779259,717490.56,29827.28,540269.28,3920.0,34443.25,17718.0,1332,608
2025-02-04,2025-02,19,HV0003,Uber,27791,130571.23,28646582,674745.06,28569.77,492650.48,3337.5,31912.25,16966.5,1273,632
2025-02-04,2025-02,20,HV0003,Uber,25830,141438.87,27428127,704538.89,34169.53,503800.49,3051.25,31514.25,17773.5,1234,627
2025-02-04,2025-02,21,HV0003,Uber,23810,141238.16999999998,25808507,701508.0499999999,33797.67,492388.41000000003,2927.5,28411.5,16380.0,1245,741
2025-02-04,2025-02,22,HV0003,Uber,21545,121284.11,23238082,603790.9,25723.74,429044.07,2330.0,24216.25,13884.0,1429,895
2025-02-04,2025-02,23,HV0003,Uber,16663,90236.03,17116807,406162.24,15805.01,306457.12,2060.0,17887.25,10018.5,1284,798
2025-02-05,2025-02,0,HV0003,Uber,10283,53566.1,9797011,235381.96,8533.99,176509.2,910.0,10826.0,6103.5,889,447
2025-02-05,2025-02,1,HV0003,Uber,5627,28785.91,5111577,125805.89,4180.1,93670.57,253.75,5753.0,3279.0,466,201
2025-02-05,2025-02,2,HV0003,Uber,3666,19014.1,3272904,79119.13,2200.52,60370.91,361.25,3525.75,1978.5,326,102
2025-02-05,2025-02,3,HV0003,Uber,3415,20720.36,3186947,84104.73,2640.18,62527.89,1428.75,2764.0,1615.5,286,95
2025-02-05,2025-02,4,HV0003,Uber,4768,35500.47,4934677,142481.1,6204.43,102652.84,3613.75,3818.75,2163.0,354,116
2025-02-05,2025-02,5,HV0003,Uber,8311,56985.59,8822946,242680.32,9964.73,173465.23,4947.5,7671.25,3988.5,542,263
2025-02-05,2025-02,6,HV0003,Uber,16324,91593.25,18160631,422722.41,16178.41,337613.46,4490.0,15138.75,7758.0,991,593
2025-02-05,2025-02,7,HV0003,Uber,26635,120193.96,31358429,678154.92,24676.79,499053.87,4162.5,22888.75,11433.0,1275,710
2025-02-05,2025-02,8,HV0003,Uber,32990,134588.73,38274579,819798.52,30922.059999999998,591912.45,3998.75,31290.25,15781.5,1416,783
2025-02-05,2025-02,9,HV0003,Uber,27868,120583.77,32033091,677282.01,27198.09,503360.61,4185.0,28630.5,14511.0,1084,487
2025-02-05,2025-02,10,HV0003,Uber,22576,108301.09,26872745,584456.41,25722.93,435723.66,4852.5,23673.5,11883.0,732,260
2025-02-05,2025-02,11,HV0003,Uber,20385,96043.17,23706669,531242.66,24330.31,386655.58,4240.0,22540.0,11323.5,629,190
2025-02-05,2025-02,12,HV0003,Uber,20925,101974.28,24814776,543805.77,25193.91,406278.44,4705.0,22876.75,11569.5,595,162
2025-02-05,2025-02,13,HV0003,Uber,21709,107314.29,26436068,576642.21,25840.6,430892.2,5772.5,22701.25,11637.0,672,189
2025-02-05,2025-02,14,HV0003,Uber,24406,118712.13,31649987,664981.5,29359.479999999996,501352.85,6532.5,23187.0,11892.0,848,316
2025-02-05,2025-02,15,HV0003,Uber,25591,123290.2,34594536,718270.52,30418.4,541744.08,6860.0,25891.75,13227.0,969,407
2025-02-05,2025-02,16,HV0003,Uber,27052,123892.34,35525733,724108.28,30969.07,550052.51,6590.0,27387.5,14172.0,1150,511
2025-02-05,2025-02,17,HV0003,Uber,30965,131505.28999999998,39133564,781074.39,32923.26,598561.45,5545.0,32957.75,16935.0,1443,697
2025-02-05,2025-02,18,HV0003,Uber,31511,135564.52,36725664,790063.61,32871.7,585350.74,4805.0,36020.0,18705.0,1418,678
2025-02-05,2025-02,19,HV0003,Uber,28639,135984.76,30853030,721325.52,30460.88,524915.37,4145.0,33436.5,17875.5,1371,701
2025-02-05,2025-02,20,HV0003,Uber,27219,148861.52,29555942,746894.4,33349.51,533986.6,3633.75,33531.25,18769.5,1296,714
2025-02-05,2025-02,21,HV0003,Uber,26169,156321.27,29340312,773586.66,36654.88,550490.08,3402.5,32363.5,18358.5,1396,829
2025-02-05,2025-02,22,HV0003,Uber,23345,136019.24,25785053,678694.76,29067.13,489587.94,2198.75,27446.75,15807.0,1496,953
2025-02-05,2025-02,23,HV0003,Uber,18695,104358.84,19584972,471721.5,18496.58,353661.75,2438.75,20828.25,11775.0,1473,965
2025-02-06,2025-02,0,HV0003,Uber,11905,65622.59,11880531,289932.43,11294.57,217188.22,1395.0,13438.75,7570.5,1055,586
2025-02-06,2025-02,1,HV0003,Uber,6661,32897.29,6068482,148432.94,4759.18,108347.17,192.5,7259.0,4141.5,634,324
2025-02-06,2025-02,2,HV0003,Uber,4250,21721.65,3868057,96115.74,2787.8,70587.54,406.25,4305.0,2518.5,371,156
2025-02-06,2025-02,3,HV0003,Uber,3835,24935.85,3867580,101759.62,3327.72,75835.0,1768.75,3240.25,1945.5,301,130
2025-02-06,2025-02,4,HV0003,Uber,5653,43865.9,6440193,180827.03,7966.7,131527.82,4312.5,4578.75,2706.0,447,186
2025-02-06,2025-02,5,HV0003,Uber,8949,62883.22,10347550,280401.17,10959.63,202111.72,5248.75,8291.0,4425.0,636,370
2025-02-06,2025-02,6,HV0003,Uber,17309,92438.48999999999,20416140,464967.41,16938.44,377424.42000000004,4260.0,16123.75,8305.5,1221,783
2025-02-06,2025-02,7,HV0003,Uber,29761,122697.92,35504435,842118.93,28786.0,645383.09,4508.75,24839.5,12147.0,1621,1013
2025-02-06,2025-02,8,HV0003,Uber,36809,137964.87,42038225,977353.07,34725.69,722400.6,3930.0,33662.0,16806.0,1736,972
2025-02-06,2025-02,9,HV0003,Uber,31673,126294.03,34895731,755486.4,29197.71,556913.46,4132.5,33253.5,16920.0,1448,704
2025-02-06,2025-02,10,HV0003,Uber,25398,108805.17,27620277,614225.19,25292.84,444949.99,4220.0,27637.5,13933.5,921,367
2025-02-06,2025-02,11,HV0003,Uber,22964,105074.29,25332561,580814.57,25253.65,418552.73000000004,4710.0,26341.5,13257.0,706,256
2025-02-06,2025-02,12,HV0003,Uber,24092,110129.2,26904773,603081.74,26888.88,441447.33,5545.0,28142.0,14104.5,742,255
2025-02-06,2025-02,13,HV0003,Uber,23973,114404.75,27354617,629560.33,27968.87,453972.13,6172.5,26816.25,13789.5,815,269
2025-02-06,2025-02,14,HV0003,Uber,26211,125173.14,31711431,692962.81,29297.83,512258.28,6842.5,26224.25,13548.0,1012,386
2025-02-06,2025-02,15,HV0003,Uber,26930,132728.59,34148531,749567.65,31771.35,550014.02,8025.0,27753.5,14305.5,1133,533
2025-02-06,2025-02,16,HV0003,Uber,27782,131251.54,34212818,748142.42,32177.64,549657.84,7565.0,28695.75,14953.5,1126,426
2025-02-06,2025-02,17,HV0003,Uber,31891,137876.49,37893598,807497.03,33445.86,598384.46,6318.75,34896.5,18018.0,1327,608
2025-02-06,2025-02,18,HV0003,Uber,33112,144253.41,37065108,803792.45,33562.0,599079.07,5496.25,39177.75,20227.5,1393,670
2025-02-06,2025-02,19,HV0003,Uber,29859,141800.56,31715789,741254.63,29207.85,541086.6,4692.5,36106.0,19170.0,1352,705
2025-02-06,2025-02,20,HV0003,Uber,27886,149616.24,30283988,752264.83,32102.46,539949.34,4136.25,35085.25,19378.5,1316,743
2025-02-06,2025-02,21,HV0003,Uber,26953,152509.0,29693637,759165.19,33268.74,541779.74,3885.0,35134.0,19744.5,1401,834
2025-02-06,2025-02,22,HV0003,Uber,25435,145053.7,28327275,709049.51,28761.1,513134.48,2918.75,31813.25,17929.5,1622,1051
