pickup_date,pickup_month,company,trips
2016-04-11,2016-04,Uber,108848
2016-04-18,2016-04,Uber,105010
2016-04-22,2016-04,Uber,132836
2016-04-30,2016-04,Uber,152259
2016-04-07,2016-04,Uber,138957
2016-04-06,2016-04,Uber,128364
2016-04-26,2016-04,Uber,110907
2016-04-24,2016-04,Uber,129937
2016-04-15,2016-04,Uber,149590
2016-04-23,2016-04,Uber,147286
2016-04-01,2016-04,Uber,142122
2016-04-27,2016-04,Uber,111254
2016-04-19,2016-04,Uber,111339
2016-04-08,2016-04,Uber,152245
2016-04-14,2016-04,Uber,135572
2016-04-12,2016-04,Uber,121232
2016-04-02,2016-04,Uber,164756
2016-04-25,2016-04,Uber,96683
2016-04-16,2016-04,Uber,168128
2016-04-04,2016-04,Uber,129451
2016-04-10,2016-04,Uber,143022
2016-04-20,2016-04,Uber,119956
2016-04-13,2016-04,Uber,121166
2016-04-03,2016-04,Uber,145061
2016-04-29,2016-04,Uber,142949
2016-04-28,2016-04,Uber,126569
2016-04-21,2016-04,Uber,127415
2016-04-05,2016-04,Uber,128271
2016-04-09,2016-04,Uber,181103
2016-04-17,2016-04,Uber,139039
