pickup_date,pickup_month,hvfhs_license_num,company,borough,trips,trip_miles,trip_time_seconds,passenger_fare,tips,driver_pay,airport_fees,congestion_surcharges,shared_requests,shared_matches
2019-02-01,2019-02,HV0003,Uber,Bronx,73444,288633.67,74309250,797532.96,10833.14,884828.78,0,206.25,30401,23265
2019-02-01,2019-02,HV0003,Uber,Brooklyn,131552,504552.25,143509135,1767612.34,36816.14,1713109.17,0,1648.5,49059,38870
2019-02-01,2019-02,HV0003,Uber,EWR,3,7.41,3437,59.57,0.0,64.67999999999999,0,0.0,0,0
2019-02-01,2019-02,HV0003,Uber,Manhattan,273210,1119578.83,314699085,4788466.42,135249.29,4484323.02,0,16324.75,53571,44742
2019-02-01,2019-02,HV0003,Uber,Queens,87299,527278.47,104246129,1633685.26,45547.27,1544117.56,0,966.25,30477,19652
2019-02-01,2019-02,HV0003,Uber,Staten Island,6030,31292.03,5713039,89190.4,3432.06,87975.88,0,12.0,2507,1358
2019-02-01,2019-02,HV0003,Uber,Unknown,42,211.27,34832,1144.54,2.0,960.8,0,0.75,13,7
2019-02-02,2019-02,HV0003,Uber,Bronx,73752,316075.42,70248766,784511.56,10579.0,884808.66,0,7080.75,27843,21234
2019-02-02,2019-02,HV0003,Uber,Brooklyn,157117,653574.3200000001,170710464,2102415.11,45907.11,2072749.96,0,52897.75,54192,44344
2019-02-02,2019-02,HV0003,Uber,EWR,1,6.48,1046,27.2,0.0,39.3,0,0.0,0,0
2019-02-02,2019-02,HV0003,Uber,Manhattan,265236,1089564.15,287957512,4205102.59,114045.75,4007953.7,0,544963.5,53987,44593
2019-02-02,2019-02,HV0003,Uber,Queens,92430,547415.24,104329755,1514812.73,39229.05,1505005.79,0,27181.0,33442,23289
2019-02-02,2019-02,HV0003,Uber,Staten Island,6097,34877.79,5805142,94230.56,3494.41,93511.75,0,508.25,2307,1265
2019-02-02,2019-02,HV0003,Uber,Unknown,41,250.47,42145,918.8499999999999,45.96,861.38,0,8.25,15,9
2019-02-03,2019-02,HV0003,Uber,Bronx,67072,292389.37,60930480,724389.44,8886.02,814048.22,0,5667.75,25267,19572
2019-02-03,2019-02,HV0003,Uber,Brooklyn,138390,604637.79,144040542,1893775.8599999999,39426.03,1852976.46,0,43488.0,49550,40579
2019-02-03,2019-02,HV0003,Uber,Manhattan,211316,973754.75,217215739,3457137.65,88505.71,3290760.02,0,413602.25,47802,39803
2019-02-03,2019-02,HV0003,Uber,Queens,88350,590247.69,100591170,1619461.22,40694.73,1578385.87,0,30363.5,30958,22056
2019-02-03,2019-02,HV0003,Uber,Staten Island,5289,30904.079999999998,4886493,83288.04,2953.94,81956.23999999999,0,396.75,2056,1114
2019-02-03,2019-02,HV0003,Uber,Unknown,28,159.69,25914,527.6899999999999,8.0,470.95,0,5.5,11,4
2019-02-04,2019-02,HV0003,Uber,Bronx,59847,245950.19,64680668,657983.92,8578.13,747128.03,0,4760.25,27303,20905
2019-02-04,2019-02,HV0003,Uber,Brooklyn,96388,409444.97000000003,109117992,1307158.32,25917.94,1296248.54,0,24596.5,41042,31553
2019-02-04,2019-02,HV0003,Uber,Manhattan,167270,816154.78,194397581,3020272.24,90041.0,2902382.23,0,324431.25,39634,32185
2019-02-04,2019-02,HV0003,Uber,Queens,72679,500310.79000000004,91908255,1487859.3800000001,42105.270000000004,1421595.79,0,28885.0,25871,16222
2019-02-04,2019-02,HV0003,Uber,Staten Island,4787,25196.350000000002,4612632,69662.03,2240.48,70486.41,0,230.5,2131,1083
2019-02-04,2019-02,HV0003,Uber,Unknown,29,162.24,29104,740.1800000000001,1.0,616.25,0,5.5,13,6
2019-02-05,2019-02,HV0003,Uber,Bronx,51170,206885.1,50654990,539647.65,6602.47,598692.31,0,3904.0,23467,17037
2019-02-05,2019-02,HV0003,Uber,Brooklyn,90545,378795.77,99801765,1217416.42,24647.9,1185588.27,0,24897.25,38389,29253
2019-02-05,2019-02,HV0003,Uber,Manhattan,173226,849731.58,204981565,3268213.09,101426.78,3096938.94,0,346180.0,37976,30633
2019-02-05,2019-02,HV0003,Uber,Queens,63911,418342.66000000003,76111051,1239588.85,36640.24,1178874.1300000001,0,23293.75,23943,14685
2019-02-05,2019-02,HV0003,Uber,Staten Island,4308,22179.65,4009346,60881.69,2063.33,60630.0,0,253.75,1987,1069
2019-02-05,2019-02,HV0003,Uber,Unknown,26,173.94,30916,593.99,3.0,508.15999999999997,0,9.0,11,6
2019-02-06,2019-02,HV0003,Uber,Bronx,55393,215229.96,56762417,591474.63,8007.599999999999,655537.7899999999,0,3978.25,25275,18510
2019-02-06,2019-02,HV0003,Uber,Brooklyn,105747,417843.08,118420030,1412361.16,28566.52,1381070.65,0,26072.25,43452,33373
2019-02-06,2019-02,HV0003,Uber,Manhattan,211244,989692.28,261833986,4138747.18,129999.75,3920602.0100000002,0,429857.25,43868,35863
2019-02-06,2019-02,HV0003,Uber,Queens,68693,430785.73,84904837,1321745.1300000001,38537.34,1268405.91,0,23040.5,25627,15989
2019-02-06,2019-02,HV0003,Uber,Staten Island,4787,24947.170000000002,4748413,69305.95,2185.15,69620.2,0,285.0,2169,1293
2019-02-06,2019-02,HV0003,Uber,Unknown,32,133.28,35455,612.9599999999999,14.59,559.71,0,8.25,13,9
2019-02-07,2019-02,HV0003,Uber,Bronx,55809,221317.02000000002,57072012,625536.67,8405.36,674002.11,0,4404.25,24201,17227
2019-02-07,2019-02,HV0003,Uber,Brooklyn,101461,415710.0,115747307,1438307.0999999999,28909.16,1368352.6400000001,0,27050.25,39628,30365
2019-02-07,2019-02,HV0003,Uber,Manhattan,208107,1038431.31,262648952,4220748.74,130220.45,3932605.18,0,423547.25,41683,33468
2019-02-07,2019-02,HV0003,Uber,Queens,70375,467434.82999999996,88865336,1463432.09,43522.5,1363503.54,0,25642.25,24694,14915
2019-02-07,2019-02,HV0003,Uber,Staten Island,4877,26017.18,4963689,72926.09,2559.77,72290.15,0,286.75,2128,1340
2019-02-07,2019-02,HV0003,Uber,Unknown,33,239.68,48114,882.0,4.0,786.79,0,15.25,15,8
2019-02-08,2019-02,HV0003,Uber,Bronx,70056,280406.67,74431580,787879.23,11129.03,871712.25,0,5701.0,28532,21539
2019-02-08,2019-02,HV0003,Uber,Brooklyn,127211,514123.13,147168925,1777562.6300000001,36061.89,1729719.4100000001,0,35720.0,46389,36615
2019-02-08,2019-02,HV0003,Uber,Manhattan,245510,1088214.09,303372043,4426803.99,127499.79,4264600.24,0,502061.75,50260,41194
2019-02-08,2019-02,HV0003,Uber,Queens,85833,557280.42,110430623,1711009.16,47636.01,1640325.8399999999,0,29008.25,28710,18364
2019-02-08,2019-02,HV0003,Uber,Staten Island,6089,32780.9,6138880,92139.37,3078.17,90957.75,0,401.0,2505,1565
2019-02-08,2019-02,HV0003,Uber,Unknown,28,191.85,35478,667.97,17.0,575.17,0,8.25,5,3
2019-02-09,2019-02,HV0003,Uber,Bronx,74151,318326.33999999997,70391459,797918.26,10616.65,890934.04,0,7395.75,28556,21690
2019-02-09,2019-02,HV0003,Uber,Brooklyn,159619,678430.31,174799630,2155553.83,47276.96,2134611.24,0,57429.75,55267,45647
2019-02-09,2019-02,HV0003,Uber,EWR,1,0.21,207,4.7,0.0,8.45,0,0.0,1,1
2019-02-09,2019-02,HV0003,Uber,Manhattan,278171,1143905.47,318005745,4514834.25,125953.84,4373028.0,0,577570.25,54973,45559
2019-02-09,2019-02,HV0003,Uber,Queens,92450,552109.07,102922198,1527609.46,39452.08,1520095.9100000001,0,27385.75,32501,22235
2019-02-09,2019-02,HV0003,Uber,Staten Island,6162,35493.54,5932322,93209.15,3386.09,93743.1,0,452.5,2350,1310
2019-02-09,2019-02,HV0003,Uber,Unknown,46,229.35,42600,1000.58,24.84,830.29,0,20.0,12,6
2019-02-10,2019-02,HV0003,Uber,Bronx,61662,267891.79,55070400,652767.01,8066.58,718568.1,0,5602.0,23804,17700
2019-02-10,2019-02,HV0003,Uber,Brooklyn,132619,584596.66,138930984,1782300.58,38197.04,1747814.56,0,43006.25,47740,38479
2019-02-10,2019-02,HV0003,Uber,Manhattan,211481,992263.05,225376937,3505758.8,95678.18000000001,3374296.61,0,420364.25,46329,38244
2019-02-10,2019-02,HV0003,Uber,Queens,81268,563479.64,93420276,1525721.22,40464.61,1490259.49,0,30207.0,28174,18711
2019-02-10,2019-02,HV0003,Uber,Staten Island,4552,25945.17,4125392,67524.31,2149.96,67689.65,0,321.0,1919,884
2019-02-10,2019-02,HV0003,Uber,Unknown,27,145.22,26238,441.46000000000004,6.0,385.71000000000004,0,9.75,9,5
2019-02-11,2019-02,HV0003,Uber,Bronx,55292,219454.5,56690267,573250.99,7629.63,662429.27,0,4375.5,25060,17962
2019-02-11,2019-02,HV0003,Uber,Brooklyn,97433,403326.22000000003,108286103,1279340.9,26312.88,1281766.56,0,24822.25,41253,31370
2019-02-11,2019-02,HV0003,Uber,Manhattan,179082,853952.38,204862598,3183992.43,97768.22,3046785.94,0,357244.75,39989,31805
2019-02-11,2019-02,HV0003,Uber,Queens,69895,474276.4,87342809,1376163.91,40151.54,1350330.56,0,27012.75,25383,15361
2019-02-11,2019-02,HV0003,Uber,Staten Island,4674,25135.25,4593142,66601.75,2247.39,69304.43,0,256.0,2139,1250
2019-02-11,2019-02,HV0003,Uber,Unknown,36,274.17,47713,841.45,21.0,780.33,0,15.25,14,9
2019-02-12,2019-02,HV0003,Uber,Bronx,55253,211968.07,52589798,550907.42,8295.53,620049.49,0,3876.75,25019,18527
2019-02-12,2019-02,HV0003,Uber,Brooklyn,108489,402923.9,113775851,1311866.01,28578.57,1303174.22,0,25336.0,45426,35270
